n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity
12.0,1015.0,0.422018348194,0.999999998447,0.545031055054,10.0,6.0,33.0,1.0,4.65615763547,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,263.0,110.5,6500.0,843300.0,398350.0,1809.075,3483.8067974,2729.04764799,1100.0,22100.0,6475.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331582170273,0.0500495757661,0.0500352783924,0.050000161879,0.518332813689,0.47117454305,0.159889069264,0.0413793103448,0.00886699507389,0.823529411765,0.176470588235,0.33353432282,0.1,0.8,-0.160714285714,-0.5,-0.0714285714286,0.0,0.0,0.5,0.0
9.0,503.0,0.569696968546,0.999999996678,0.737541525789,9.0,0.0,1.0,1.0,4.57654075547,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3200.0,524.75,0.0,843300.0,117960.0,0.0,4228.11428571,2387.5263074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0200065693625,0.0200081341805,0.325602187479,0.0200041879412,0.614378921037,0.477791201047,0.123520084567,0.0337972166998,0.0198807157058,0.62962962963,0.37037037037,0.419786096257,0.136363636364,1.0,-0.1575,-0.25,-0.1,0.0,0.0,0.5,0.0
9.0,232.0,0.646017696257,0.999999993711,0.748427668249,12.0,3.0,4.0,1.0,4.93534482759,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,939.0,198.666666667,970.0,843300.0,573878.333333,954.5,6192.23906706,4385.02223684,1400.0,58800.0,30100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0333338909291,0.0336973582841,0.0333334312186,0.866301904987,0.0333334145816,0.522233893557,-0.163235294118,0.0172413793103,0.0431034482759,0.285714285714,0.714285714286,0.46875,0.375,0.5,-0.4275,-1.0,-0.1875,0.0,0.0,0.5,0.0
12.0,171.0,0.72289156191,0.999999990566,0.867924520114,9.0,5.0,0.0,1.0,4.97076023392,6.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2100.0,444.166666667,5600.0,843300.0,311033.333333,2076.52,4529.4275,3269.85664031,974.0,5600.0,2574.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.700107399747,0.0333353875446,0.0333336154991,0.199401823706,0.0338217735027,0.405128205128,-0.00641025641026,0.0116959064327,0.0292397660819,0.285714285714,0.714285714286,0.5,0.5,0.5,-0.216666666667,-0.25,-0.166666666667,0.4,-0.25,0.1,0.25
11.0,286.0,0.652631576657,0.999999994444,0.799999995556,5.0,2.0,0.0,0.0,5.00699300699,8.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,552.0,356.2,0.0,28000.0,6830.125,0.0,2240.53631285,976.913443726,822.0,822.0,822.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.214708189787,0.0250615106516,0.0250155396711,0.0251865481928,0.710028211698,0.418035714286,0.0600892857143,0.034965034965,0.0244755244755,0.588235294118,0.411764705882,0.303428571429,0.1,0.6,-0.251785714286,-0.5,-0.1,0.2,-0.1,0.3,0.1
14.0,322.0,0.567741933652,0.999999994975,0.668341705184,4.0,4.0,2.0,1.0,4.31677018634,10.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1200.0,554.333333333,0.0,843300.0,131480.0,0.0,4833.33333333,2453.89532347,888.0,915.0,906.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200021666329,0.278531673181,0.0200014414282,0.661337254671,0.020127464087,0.20374800638,0.0782296650718,0.0186335403727,0.00931677018634,0.666666666667,0.333333333333,0.407727272727,0.1,1.0,-0.2,-0.4,-0.1,0.0,0.0,0.5,0.0
11.0,250.0,0.576131684872,0.999999993289,0.671140935093,2.0,1.0,1.0,0.0,4.524,5.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,2800.0,894.25,0.0,51900.0,17780.0,0.0,2800.0,2004.37418608,919.0,919.0,919.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0400315071391,0.0400135500369,0.0400153823753,0.0400076821413,0.839931878307,0.486574074074,0.16712962963,0.04,0.012,0.769230769231,0.230769230769,0.353333333333,0.1,0.6,-0.226851851852,-0.4,-0.125,0.5,0.5,0.0,0.5
11.0,550.0,0.476635513128,0.999999996743,0.651465795924,16.0,6.0,1.0,1.0,4.41090909091,8.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,515.0,141.375,18800.0,843300.0,196862.5,2628.13203463,4245.63157895,3198.67346238,14100.0,18800.0,16450.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0250358256581,0.268233695371,0.0250062821942,0.155402690197,0.52632150658,0.457765361254,0.0270730561428,0.0272727272727,0.0327272727273,0.454545454545,0.545454545455,0.440757575758,0.1,0.8,-0.309567901235,-0.5,-0.05,0.25,0.25,0.25,0.25
7.0,525.0,0.521153845152,0.999999997041,0.66272189153,13.0,1.0,1.0,0.0,5.25523809524,5.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,111.0,31.0,27700.0,843300.0,451080.0,1770.53005464,3516.44677185,2706.50269086,1300.0,1300.0,1300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302187924814,0.0402156279661,0.218874040439,0.0400003760081,0.398722030772,0.380918803419,0.00786324786325,0.0152380952381,0.0152380952381,0.5,0.5,0.302291666667,0.05,0.5,-0.235069444444,-0.6,-0.05,0.0,0.0,0.5,0.0
11.0,1450.0,0.44086773937,0.999999998818,0.646572103255,8.0,7.0,5.0,0.0,4.63517241379,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,414.0,133.166666667,1100.0,843300.0,248833.333333,748.0,3863.47303066,2821.66670665,473.0,1100.0,939.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0333486013637,0.866403375957,0.03333356335,0.0335808178154,0.0333336415142,0.422531161071,0.0591654535239,0.0331034482759,0.0227586206897,0.592592592593,0.407407407407,0.302525252525,0.05,0.7,-0.232966570467,-0.6,-0.1,0.0,0.0,0.5,0.0
